time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
3.830000000000000071e+00,2.740287184715270996e-01,1.288110017776489258e+00,2.147568315267562866e-01,3.428603522479534149e-03
3.839999999999999858e+00,2.735712230205535889e-01,1.287734031677246094e+00,2.151888012886047363e-01,3.441094420850276947e-03
3.850000000000000089e+00,2.731142044067382812e-01,1.287359118461608887e+00,2.156198769807815552e-01,3.453525714576244354e-03
3.859999999999999876e+00,2.726581394672393799e-01,1.286984920501708984e+00,2.160498797893524170e-01,3.466046415269374847e-03
3.870000000000000107e+00,2.722025215625762939e-01,1.286611676216125488e+00,2.164788693189620972e-01,3.478429280221462250e-03
3.879999999999999893e+00,2.717472016811370850e-01,1.286238908767700195e+00,2.169071286916732788e-01,3.490795381367206573e-03
3.890000000000000124e+00,2.712928652763366699e-01,1.285866975784301758e+00,2.173341810703277588e-01,3.503192216157913208e-03
3.899999999999999911e+00,2.708390653133392334e-01,1.285495877265930176e+00,2.177602797746658325e-01,3.515633754432201385e-03
3.910000000000000142e+00,2.703860998153686523e-01,1.285125851631164551e+00,2.181854993104934692e-01,3.527997061610221863e-03
3.919999999999999929e+00,2.699333727359771729e-01,1.284755945205688477e+00,2.186097800731658936e-01,3.540304489433765411e-03
3.930000000000000160e+00,2.694815397262573242e-01,1.284387469291687012e+00,2.190329283475875854e-01,3.552675247192382812e-03
3.939999999999999947e+00,2.690301835536956787e-01,1.284019351005554199e+00,2.194551825523376465e-01,3.564928658306598663e-03
3.950000000000000178e+00,2.685795724391937256e-01,1.283652186393737793e+00,2.198764383792877197e-01,3.577142022550106049e-03
3.959999999999999964e+00,2.681295871734619141e-01,1.283285856246948242e+00,2.202966660261154175e-01,3.589418716728687286e-03
3.970000000000000195e+00,2.676801681518554688e-01,1.282920122146606445e+00,2.207159698009490967e-01,3.601589240133762360e-03
3.979999999999999982e+00,2.672315537929534912e-01,1.282555222511291504e+00,2.211342751979827881e-01,3.613789565861225128e-03
3.990000000000000213e+00,2.667834758758544922e-01,1.282191276550292969e+00,2.215516567230224609e-01,3.625978715717792511e-03
4.000000000000000000e+00,2.663359642028808594e-01,1.281828045845031738e+00,2.219679057598114014e-01,3.638118505477905273e-03
4.009999999999999787e+00,2.658892273902893066e-01,1.281465411186218262e+00,2.223833054304122925e-01,3.650268539786338806e-03
4.020000000000000462e+00,2.654430270195007324e-01,1.281103730201721191e+00,2.227976769208908081e-01,3.662263043224811554e-03
